PlotID,mm_precip_total,Seedlings_total,Site,SpeciesID,Plot_treatment,Week_germinated,Min_known_weeks_surviving,Max_known_weeks_surviving,Recorded_dead
R07B,157,45,Rincon,AMBI,Buffel,2,5,5,1
R07B,157,45,Rincon,SIAB,Buffel,2,7,7,0
R08A,157,6,Rincon,SIAB,Buffel,2,0,6,1
R08A,157,6,Rincon,ABIN,Buffel,2,0,0,0
R08A,157,6,Rincon,AMBI,Buffel,2,0,0,0
R08A,157,6,Rincon,NAGR,Buffel,2,3,3,1
R08A,157,6,Rincon,NAGR,Buffel,2,3,3,0
R08A,157,6,Rincon,AMBI,Buffel,2,1,1,0
R09B,157,12,Rincon,ABIN,Buffel,9,0,2,1
R09B,157,12,Rincon,AMBI,Buffel,9,0,2,1
R09B,157,12,Rincon,AMBI,Buffel,9,0,2,1
R09B,157,12,Rincon,SECO,Buffel,9,0,2,1
R09B,157,12,Rincon,AMBI,Buffel,6,0,0,1
R09B,157,12,Rincon,AMBI,Buffel,4,0,0,1
R09B,157,12,Rincon,AMBI,Buffel,3,0,2,1
R09B,157,12,Rincon,SIAB,Buffel,2,2,3,1
R09B,157,12,Rincon,SIAB,Buffel,2,3,3,1
R09B,157,12,Rincon,AMBI,Buffel,2,1,1,1
R09B,157,12,Rincon,AMBI,Buffel,2,2,2,0
R09B,157,12,Rincon,SECO,Buffel,2,5,6,1
R10A,157,22,Rincon,SIAB,Buffel,7,0,0,0
R10A,157,22,Rincon,AMBI,Buffel,2,1,1,1
R10A,157,22,Rincon,AMBI,Buffel,2,1,1,1
R10A,157,22,Rincon,AMBI,Buffel,2,1,1,0
R10A,157,22,Rincon,AMBI,Buffel,2,1,1,0
R10A,157,22,Rincon,SIAB,Buffel,2,1,1,0
R10A,157,22,Rincon,SIAB,Buffel,2,1,1,0
R10A,157,22,Rincon,SIAB,Buffel,2,2,2,0
R10A,157,22,Rincon,SIAB,Buffel,2,5,5,0
R10A,157,22,Rincon,SECO,Buffel,2,3,4,1
R10A,157,22,Rincon,SECO,Buffel,2,3,4,1
R10A,157,22,Rincon,SIAB,Buffel,2,3,3,0
R10A,157,22,Rincon,SIAB,Buffel,2,5,6,1
R10A,157,22,Rincon,SECO,Buffel,2,7,7,0
R10A,157,22,Rincon,SECO,Buffel,2,4,4,0
R10A,157,22,Rincon,SIAB,Buffel,2,4,4,0
R10A,157,22,Rincon,AMBI,Buffel,2,5,5,0
R10A,157,22,Rincon,SECO,Buffel,2,7,7,0
R11B,157,24,Rincon,AMBI,Buffel,9,0,1,1
R11B,157,24,Rincon,AMBI,Buffel,9,0,1,1
R11B,157,24,Rincon,AMBI,Buffel,9,0,1,1
